number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;garbage chute;type of house;district;street;concierge
3;61.0;5;1;3200000.0;косметический;раздельный;балкон;1972;0;0;панельный;р-н Индустриальный;улица Архитектора Свиязева, 50/2;0
1;31.0;2;1;1500000.0;косметический;совмещенный;нет;1957;0;0;кирпичный;р-н Свердловский;улица Кузбасская, 41;0
3;89.0;25;3;6990000.0;евро;раздельный;лоджия;2010;2;0;монолитный;р-н Индустриальный;шоссеКосмонавтов, 215;1
3;84.0;6;6;6300000.0;косметический;несколько;балкон;2016;1;0;кирпичный;р-н Мотовилихинский;улица КИМ, 74А;1
3;64.0;10;6;4350000.0;косметический;раздельный;балкон;1993;1;1;панельный;р-н Индустриальный;улица Норильская, 9;0
2;47.0;20;7;4960000.0;косметический;совмещенный;лоджия;2017;2;0;панельный;р-н Свердловский;улица Пушкина, 6;1
3;57.0;9;3;3400000.0;евро;совмещенный;балкон;1978;1;1;панельный;р-н Мотовилихинский;улица Гашкова, 29;0
2;46.0;5;2;1650000.0;требует ремонта;совмещенный;нет;1962;0;0;кирпичный;р-н Орджоникидзевский;улица Корсуньская, 29;0
3;61.0;5;1;3200000.0;косметический;раздельный;балкон;1972;0;0;панельный;р-н Индустриальный;улица Архитектора Свиязева, 50/2;0
1;31.0;2;1;1500000.0;косметический;совмещенный;нет;1957;0;0;кирпичный;р-н Свердловский;улица Кузбасская, 41;0
3;64.0;10;6;4350000.0;косметический;раздельный;балкон;1993;1;1;панельный;р-н Индустриальный;улица Норильская, 9;0
3;84.0;6;6;6300000.0;косметический;несколько;балкон;2016;1;0;кирпичный;р-н Мотовилихинский;улица КИМ, 74А;1
3;57.0;9;3;3400000.0;евро;совмещенный;балкон;1978;1;1;панельный;р-н Мотовилихинский;улица Гашкова, 29;0
3;89.0;25;3;6990000.0;евро;раздельный;лоджия;2010;2;0;монолитный;р-н Индустриальный;шоссеКосмонавтов, 215;1
2;46.0;5;2;1650000.0;требует ремонта;совмещенный;нет;1962;0;0;кирпичный;р-н Орджоникидзевский;улица Корсуньская, 29;0
2;63.0;10;9;4700000.0;косметический;раздельный;лоджия;2012;1;1;панельный;р-н Дзержинский;улица Докучаева, 40;1
3;89.0;25;3;6990000.0;евро;раздельный;лоджия;2010;2;0;монолитный;р-н Индустриальный;шоссеКосмонавтов, 215;1
3;70.0;9;2;4350000.0;косметический;раздельный;лоджия;1996;1;0;панельный;р-н Кировский;улица 5-я, ул.,;1
1;41.0;17;3;3450000.0;косметический;раздельный;лоджия;1987;1;1;кирпичный;р-н Ленинский;улица Попова, 25;0
3;71.0;4;1;3950000.0;евро;совмещенный;нет;1953;0;0;кирпичный;р-н Свердловский;улица Куйбышева, 155;0
1;35.0;9;4;2750000.0;евро;раздельный;балкон;1986;1;1;панельный;р-н Мотовилихинский;улица Свободы, 13;0
1;32.0;6;5;3200000.0;косметический;совмещенный;нет;1987;0;0;кирпичный;р-н Ленинский;улица Николая Островского, 27;0
2;47.0;20;7;4960000.0;косметический;совмещенный;лоджия;2017;2;0;панельный;р-н Свердловский;улица Пушкина, 6;1
1;33.0;16;5;2420000.0;косметический;совмещенный;лоджия;2016;1;1;кирпичный;р-н Кировский;улица Калинина, 46;0
2;62.0;25;22;4500000.0;косметический;раздельный;лоджия;2016;2;1;монолитный;р-н Мотовилихинский;улица Грибоедова, 72;1
2;84.0;16;8;5300000.0;дизайнерский;совмещенный;лоджия;2009;1;0;монолитный;р-н Свердловский;улица Гусарова, 20;1
1;41.0;17;6;3000000.0;косметический;совмещенный;лоджия;2016;1;1;монолитный;р-н Орджоникидзевский;улица Карбышева, 41;1
1;45.0;24;4;5200000.0;евро;совмещенный;лоджия;2019;1;0;монолитный;р-н Дзержинский;улица Локомотивная, 1А;1
2;74.0;25;10;7250000.0;дизайнерский;совмещенный;лоджия;2007;2;1;монолитный;р-н Дзержинский;улица Вильвенская, 6;1
3;85.0;22;22;10850000.0;дизайнерский;несколько;балкон;2021;1;1;кирпичный;р-н Ленинский;улица Луначарского, 99;1
1;21.0;25;23;2550000.0;косметический;совмещенный;лоджия;2018;1;0;монолитный;р-н Индустриальный;улица Советской Армии, 60;1
1;31.0;5;3;2400000.0;требует ремонта;совмещенный;балкон;1962;0;0;кирпичный;р-н Свердловский;улица Клары Цеткин, 11;0
2;42.0;5;3;3000000.0;косметический;совмещенный;балкон;1961;0;0;кирпичный;р-н Индустриальный;улица Чайковского, 27;0
3;42.0;5;3;3100000.0;косметический;совмещенный;балкон;1966;0;0;кирпичный;р-н Индустриальный;улица Советской Армии, 25;0
2;47.0;5;3;2150000.0;евро;совмещенный;балкон;1965;0;0;кирпичный;р-н Орджоникидзевский;улица Мелитопольская, 24;0
3;77.0;17;14;4800000.0;дизайнерский;совмещенный;лоджия;2009;1;0;кирпичный;р-н Орджоникидзевский;улица Карбышева, 6;1
3;53.0;9;2;3700000.0;дизайнерский;совмещенный;лоджия;1974;1;1;панельный;р-н Индустриальный;улица Чердынская, 22;0
4;85.0;9;2;6800000.0;евро;совмещенный;лоджия;1984;1;1;кирпичный;р-н Свердловский;улица Весёлая, 1;0
1;45.0;17;5;3280000.0;косметический;совмещенный;балкон;2009;1;0;кирпичный;р-н Свердловский;улица Новосибирская, 13;1
2;43.0;4;4;1850000.0;косметический;совмещенный;балкон;1962;0;0;кирпичный;р-н Орджоникидзевский;улица Карбышева, 32;0
3;60.0;9;9;2800000.0;косметический;раздельный;лоджия;1983;1;1;панельный;р-н Орджоникидзевский;улица Карбышева, 82/1;0
2;59.0;4;3;2980000.0;требует ремонта;раздельный;балкон;1954;0;0;кирпичный;р-н Свердловский;улица Куйбышева, 157;0
4;81.0;10;4;5670000.0;косметический;раздельный;балкон;2005;1;0;панельный;р-н Индустриальный;улица Карпинского, 120;0
2;56.0;19;8;4990000.0;косметический;раздельный;балкон;2013;2;0;монолитный;р-н Свердловский;улица Чернышевского, 15Г;1
2;49.0;17;11;4250000.0;косметический;совмещенный;лоджия;2019;1;1;кирпичный;р-н Дзержинский;улица Кронштадтская, 45;1
3;83.0;20;12;7599000.0;евро;совмещенный;лоджия;2011;2;0;монолитный;р-н Мотовилихинский;улица Юрша, 84;1
3;71.0;9;9;4400000.0;косметический;раздельный;лоджия;1978;1;1;панельный;р-н Индустриальный;улица Карпинского, 77;0
2;45.0;5;4;3550000.0;евро;совмещенный;балкон;1974;0;0;кирпичный;р-н Свердловский;улица Холмогорская, 6;0
2;52.0;5;2;3560000.0;косметический;совмещенный;нет;1953;0;0;кирпичный;р-н Свердловский;Комсомольский проспект, 58;0
4;175.0;7;6;16200000.0;евро;несколько;балкон;2003;1;1;кирпичный;р-н Свердловский;улица Краснова, 32;1
3;83.0;20;12;7599000.0;евро;совмещенный;лоджия;2011;2;0;монолитный;р-н Мотовилихинский;улица Юрша, 84;1
3;71.0;9;9;4400000.0;косметический;раздельный;лоджия;1978;1;1;панельный;р-н Индустриальный;улица Карпинского, 77;0
2;52.0;5;2;3560000.0;косметический;совмещенный;нет;1953;0;0;кирпичный;р-н Свердловский;Комсомольский проспект, 58;0
4;175.0;7;6;16200000.0;евро;несколько;балкон;2003;1;1;кирпичный;р-н Свердловский;улица Краснова, 32;1
2;42.0;5;2;2550000.0;евро;совмещенный;нет;1967;0;0;кирпичный;р-н Кировский;улица Закамская, 35;0
3;86.0;12;4;7500000.0;дизайнерский;совмещенный;нет;2009;1;1;монолитный;р-н Дзержинский;улица Докучаева, 42;0
2;45.0;5;4;3550000.0;евро;совмещенный;балкон;1974;0;0;кирпичный;р-н Свердловский;улица Холмогорская, 6;0
1;34.0;10;7;2970000.0;косметический;раздельный;лоджия;1991;1;1;панельный;р-н Мотовилихинский;улица Юрша, 21;0
3;89.0;20;4;9200000.0;дизайнерский;несколько;лоджия;2014;2;0;монолитный;р-н Свердловский;улица Белинского, 31;1
2;51.0;11;9;5100000.0;евро;совмещенный;лоджия;2020;1;0;монолитный;р-н Мотовилихинский;улица Шмидта, 56;1
3;68.0;4;2;4990000.0;косметический;совмещенный;нет;1950;0;0;кирпичный;р-н Свердловский;улица Павла Соловьёва, 12;0
1;40.0;16;16;2450000.0;косметический;совмещенный;балкон;2014;1;0;монолитный;р-н Орджоникидзевский;улица Янаульская, 18;1
2;43.0;5;3;2998154.0;косметический;раздельный;балкон;1969;0;0;кирпичный;р-н Мотовилихинский;улица Добролюбова, 20;0
3;66.0;9;2;3200000.0;требует ремонта;раздельный;балкон;1987;1;1;панельный;р-н Мотовилихинский;улица Зенкова, 8;0
3;60.0;9;2;4150000.0;косметический;совмещенный;лоджия;1979;1;1;панельный;р-н Свердловский;улица Яблочкова, 23Б;0
3;73.0;16;7;8990000.0;евро;несколько;лоджия;2013;1;0;монолитный;р-н Свердловский;улица Куйбышева, 61;1
1;42.0;23;13;4500000.0;евро;совмещенный;лоджия;2012;2;0;монолитный;р-н Дзержинский;улица Татьяны Барамзиной, 54;1
