number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;garbage chute;type of house;district;street;concierge;distance;price for metre;district population;green rate;repair rate;bathroom rate;terrace rate;age
3;61.0;5;1;3200000.0;косметический;раздельный;балкон;1972;0;0;панельный;р-н Индустриальный;улица Архитектора Свиязева, 50/2;0;6204.772641963392;78168.86137903988;169613;3;1;2;1;49
1;31.0;2;1;1500000.0;косметический;совмещенный;нет;1957;0;0;кирпичный;р-н Свердловский;улица Кузбасская, 41;0;5521.661083185583;74318.1778421745;218220;2;1;1;0;64
3;64.0;10;6;4350000.0;косметический;раздельный;балкон;1993;1;1;панельный;р-н Индустриальный;улица Норильская, 9;0;4863.326766193016;78168.86137903988;169613;3;1;2;1;28
2;47.0;20;7;4960000.0;косметический;совмещенный;лоджия;2017;2;0;панельный;р-н Свердловский;улица Пушкина, 6;1;2263.211962079824;74318.1778421745;218220;2;1;1;2;4
3;57.0;9;3;3400000.0;евро;совмещенный;балкон;1978;1;1;панельный;р-н Мотовилихинский;улица Гашкова, 29;0;9394.696374758105;69325.50503743357;193639;4;2;1;1;43
2;46.0;5;2;1650000.0;требует ремонта;совмещенный;нет;1962;0;0;кирпичный;р-н Орджоникидзевский;улица Корсуньская, 29;0;19940.069139236395;53809.059009550336;115722;4;0;1;0;59
3;61.0;5;1;3200000.0;косметический;раздельный;балкон;1972;0;0;панельный;р-н Индустриальный;улица Архитектора Свиязева, 50/2;0;6204.772641963392;78168.86137903988;169613;3;1;2;1;49
1;31.0;2;1;1500000.0;косметический;совмещенный;нет;1957;0;0;кирпичный;р-н Свердловский;улица Кузбасская, 41;0;5521.661083185583;74318.1778421745;218220;2;1;1;0;64
3;64.0;10;6;4350000.0;косметический;раздельный;балкон;1993;1;1;панельный;р-н Индустриальный;улица Норильская, 9;0;4863.326766193016;78168.86137903988;169613;3;1;2;1;28
3;57.0;9;3;3400000.0;евро;совмещенный;балкон;1978;1;1;панельный;р-н Мотовилихинский;улица Гашкова, 29;0;9394.696374758105;69325.50503743357;193639;4;2;1;1;43
2;46.0;5;2;1650000.0;требует ремонта;совмещенный;нет;1962;0;0;кирпичный;р-н Орджоникидзевский;улица Корсуньская, 29;0;19940.069139236395;53809.059009550336;115722;4;0;1;0;59
2;63.0;10;9;4700000.0;косметический;раздельный;лоджия;2012;1;1;панельный;р-н Дзержинский;улица Докучаева, 40;1;5682.947846148637;76055.00621772064;166466;5;1;2;2;9
3;70.0;9;2;4350000.0;косметический;раздельный;лоджия;1996;1;0;панельный;р-н Кировский;улица 5-я, ул.,;1;7063.580244125602;62889.363336951275;130798;5;1;2;2;25
1;41.0;17;3;3450000.0;косметический;раздельный;лоджия;1987;1;1;кирпичный;р-н Ленинский;улица Попова, 25;0;458.3132994881166;85854.45308674303;54741;4;1;2;2;34
3;71.0;4;1;3950000.0;евро;совмещенный;нет;1953;0;0;кирпичный;р-н Свердловский;улица Куйбышева, 155;0;5342.005891366342;74318.1778421745;218220;2;2;1;0;68
1;35.0;9;4;2750000.0;евро;раздельный;балкон;1986;1;1;панельный;р-н Мотовилихинский;улица Свободы, 13;0;6213.004797016823;69325.50503743357;193639;4;2;2;1;35
1;32.0;6;5;3200000.0;косметический;совмещенный;нет;1987;0;0;кирпичный;р-н Ленинский;улица Николая Островского, 27;0;2031.62942871828;85854.45308674303;54741;4;1;1;0;34
2;47.0;20;7;4960000.0;косметический;совмещенный;лоджия;2017;2;0;панельный;р-н Свердловский;улица Пушкина, 6;1;2263.211962079824;74318.1778421745;218220;2;1;1;2;4
1;33.0;16;5;2420000.0;косметический;совмещенный;лоджия;2016;1;1;кирпичный;р-н Кировский;улица Калинина, 46;0;23272.97199566279;62889.363336951275;130798;5;1;1;2;5
2;62.0;25;22;4500000.0;косметический;раздельный;лоджия;2016;2;1;монолитный;р-н Мотовилихинский;улица Грибоедова, 72;1;5989.499586856254;69325.50503743357;193639;4;1;2;2;5
2;84.0;16;8;5300000.0;дизайнерский;совмещенный;лоджия;2009;1;0;монолитный;р-н Свердловский;улица Гусарова, 20;1;5091.941526374043;74318.1778421745;218220;2;3;1;2;12
1;41.0;17;6;3000000.0;косметический;совмещенный;лоджия;2016;1;1;монолитный;р-н Орджоникидзевский;улица Карбышева, 41;1;12234.508375574876;53809.059009550336;115722;4;1;1;2;5
