physical address;number of rooms;area of apartment;number of floors;apartment floor;price;link;repair;bathroom;view from the windows;terrace;year of construction;elevator;garbage chute;type of house;parking
https://www.avito.ru/perm/kvartiry/2-k._kvartira_42m_13et._2154826013;ул. Желябова, 19  р-н Дзержинский;2;42м;3;1;2500000;косметический;совмещенный;во двор;нет;1962;0;газоснабжение;кирпичный;открытая во дворе
https://www.avito.ru/perm/kvartiry/2-k._kvartira_49m_2525et._2187117587;ул. Героев Хасана, 11Б  р-н Свердловский;2;49м;25;25;от    1890;;;;;;;;;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_433m_1216et._2099745685;ул. Гашкова, д. 51, корп. 2  р-н Мотовилихинский;1;43.3м;16;12;2589938;;раздельный;на улицу;балкон;;1;;панельный;подземная, открытая во дворе
https://www.avito.ru/perm/kvartiry/3-k._kvartira_712m_24et._2198327545;;3;71.2м;4;2;4600000;косметический;совмещенный;на улицу;нет;1942;;;блочный;за шлагбаумом во дворе
https://www.avito.ru/perm/kvartiry/1-k._kvartira_38m_2525et._2229709015;ул. Милиционера Власова, 4А  р-н Индустриальный;1;38м;25;25;3550000;евро;совмещенный;на улицу;балкон;2017;1;консьерж;монолитный;за шлагбаумом во дворе
https://www.avito.ru/perm/kvartiry/4-k._kvartira_812m_99et._2178148663;ул., 21  р-н Дзержинский;4;81.2м;9;9;4250000;;раздельный;во двор;лоджия;1985;1;мусоропровод, газоснабжение;панельный;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_617m_410et._2219358741;ул. Космонавта Беляева, 8  р-н Индустриальный;1;61.7м;10;4;4800000;;;;лоджия;;2;;кирпичный;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_617m_410et._2219358741;ул. Космонавта Беляева, 8  р-н Индустриальный;1;61.7м;10;4;4800000;;;;лоджия;;2;;кирпичный;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_379_m_1417_et._2195363371;ул. Гашкова, д. 51, корп. 2  р-н Мотовилихинский;1;37.9м;17;14;2428078;;совмещенный;во двор, на улицу;балкон;;1;;панельный;открытая во дворе
https://www.avito.ru/perm/kvartiry/2-k._kvartira_586m_49et._2034926628;ул. Гашкова, д. 59  р-н Мотовилихинский;2;58.6м;9;4;3712944;;раздельный;на улицу, во двор;балкон;;;;панельный;открытая во дворе
https://www.avito.ru/perm/kvartiry/1-k._kvartira_457m_625et._2198281806;;1;45.7м;25;6;3470000;косметический;совмещенный;;лоджия;2012;2;консьерж, мусоропровод;монолитный;
https://www.avito.ru/perm/kvartiry/2-k._kvartira_377m_316et._2082363646;ул. Сапфирная, д. 14  р-н Мотовилихинский;2;37.7м;16;3;3290000;;совмещенный;во двор;балкон;;;;монолитный;открытая во дворе
https://www.avito.ru/perm/kvartiry/1-k._kvartira_40m_2123et._1879033327;ул. Революции, 52Б  р-н Свердловский;1;40м;23;21;от    1630;;совмещенный;;;;;;;
https://www.avito.ru/perm/kvartiry/2-k._kvartira_468m_29et._2034936459;ул. Гашкова, д. 59  р-н Мотовилихинский;2;46.8м;9;2;3114860;;совмещенный;;лоджия;;1;;панельный;
https://www.avito.ru/perm/kvartiry/3-k._kvartira_77m_89et._2098996937;ул. Гашкова, д. 59  р-н Мотовилихинский;3;77м;9;8;4681600;;раздельный;на улицу, во двор;лоджия;;;;панельный;подземная, за шлагбаумом во дворе, открытая во дворе
https://www.avito.ru/perm/kvartiry/1-k._kvartira_422m_49et._2035114604;ул. Гашкова, д. 59  р-н Мотовилихинский;1;42.2м;9;4;2750788;;раздельный;;балкон;;1;;панельный;открытая во дворе
https://www.avito.ru/perm/kvartiry/2-k._kvartira_515m_610et._2099367218;ул. Гашкова, д. 51, корп. 2  р-н Мотовилихинский;2;51.5м;10;6;3028788;;раздельный;на улицу;балкон;;1;;панельный;подземная, открытая во дворе
https://www.avito.ru/perm/kvartiry/1-k._kvartira_422m_49et._2035114604;ул. Гашкова, д. 59  р-н Мотовилихинский;1;42.2м;9;4;2750788;;раздельный;;балкон;;1;;панельный;открытая во дворе
https://www.avito.ru/perm/kvartiry/4-k._kvartira_847m_89et._2099881208;ул. Гашкова, д. 59  р-н Мотовилихинский;4;84.7м;9;8;5099542;;раздельный;на улицу, во двор;балкон;;0;;панельный;подземная, открытая во дворе
https://www.avito.ru/perm/kvartiry/1-k._kvartira_422m_89et._2099005664;ул. Гашкова, д. 59  р-н Мотовилихинский;1;42.2м;9;8;2757117;;раздельный;на улицу;балкон;;1;;панельный;подземная, открытая во дворе
https://www.avito.ru/perm/kvartiry/1-k._kvartira_33m_55et._1991097242;ул., 72  р-н Свердловский;1;33м;5;5;от    1000;;;;;;;;;
https://www.avito.ru/perm/kvartiry/3-k._kvartira_737m_44et._2083966406;ул. Лобвинская, д. 33  р-н Орджоникидзевский;3;73.7м;4;4;4879000;;совмещенный;во двор;балкон;;1;;кирпичный;за шлагбаумом во дворе
https://www.avito.ru/perm/kvartiry/1-k._kvartira_36m_625et._1938023425;ул. Фридриха Энгельса, 27  р-н Дзержинский;1;36м;25;6;от    1700;;совмещенный;;;;;;;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_305m_47et._2184941048;ул. Монастырская, д. 181  р-н Дзержинский;1;30.5м;7;4;3490000;;совмещенный;;лоджия;;;;монолитный;подземная, открытая во дворе
https://www.avito.ru/perm/kvartiry/3-k._kvartira_84m_525et._2184151163;ул. Революции, д. 24  р-н Свердловский;3;84м;25;5;9000000;;;на улицу;лоджия;;3;;монолитный;подземная, открытая во дворе
https://www.avito.ru/perm/kvartiry/1-k._kvartira_313m_45et._102542380;ул. Дружбы, 26  р-н Мотовилихинский;1;31.3м;5;4;от    1200;;совмещенный;;;;;;;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_38m_1825et._2002605099;ул. Василия Татищева, 4  р-н Свердловский;1;38м;25;18;от    1499;;;;;;;;;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_36m_35et._1873100656;ул. Чкалова, 50  р-н Свердловский;1;36м;5;3;от    1000;;;;;;;;;
https://www.avito.ru/perm/kvartiry/3-k._kvartira_865m_412et._803006890;ул. Докучаева, 42  р-н Дзержинский;3;86.5м;12;4;7300000;евро;совмещенный;на улицу, во двор;нет;;1;мусоропровод;кирпичный;за шлагбаумом во дворе
https://www.avito.ru/perm/kvartiry/3-k._kvartira_76m_35et._1475937334;;3;76м;5;3;от    1990;;;;;;;;;
https://www.avito.ru/perm/kvartiry/3-k._kvartira_621m_69et._2207432789;ул. Революции, 18  р-н Свердловский;3;62.1м;9;6;5550000;косметический;раздельный;на улицу, во двор;лоджия;1978;1;мусоропровод, газоснабжение;кирпичный;открытая во дворе
https://www.avito.ru/perm/kvartiry/2-k._kvartira_586m_49et._2034926628;ул. Гашкова, д. 59  р-н Мотовилихинский;2;58.6м;9;4;3712944;;раздельный;на улицу, во двор;балкон;;;;панельный;открытая во дворе
https://www.avito.ru/perm/kvartiry/1-k._kvartira_40m_25et._1985913466;ул. Ленина, 47  р-н Ленинский;1;40м;5;2;от    1690;;;;;;;;;
https://www.avito.ru/perm/kvartiry/3-k._kvartira_641m_616et._2099709024;;;;;;;;;;;;;;;
https://www.avito.ru/perm/kvartiry/3-k._kvartira_70m_917et._1217764804;ул. Мира, 11  р-н Индустриальный;3;70м;17;9;от    3000;;;;;;;;;
https://www.avito.ru/perm/kvartiry/3-k._kvartira_879_m_725_et._2222840240;ул. Чернышевского, д. 20  р-н Свердловский;3;87.9м;25;7;7259000;;;;;;;;кирпичный;
