number of rooms;area of apartment;number of floors;apartment floor;price;year of construction;elevator;full address;concierge;garbage chute;repair_дизайнерский;repair_евро;repair_косметический;repair_требует ремонта;bathroom_несколько;bathroom_раздельный;bathroom_совмещенный;terrace_балкон;terrace_лоджия;terrace_нет;type of house_блочный;type of house_деревянный;type of house_кирпичный;type of house_монолитный;type of house_панельный;district_Дзержинский;district_Индустриальный;district_Кировский;district_Ленинский;district_Мотовилихинский;district_Орджоникидзевский;district_Свердловский;parking_за шлагбаумом во дворе;parking_открытая во дворе;parking_наземная многоуровневая;parking_подземная;lat;lon
3;61.2;5;1;3200000.0;1972;0.0;Пермский край, Пермь, ул. Архитектора Свиязева, 50/2;0;0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.961465;56.171009
1;31.1;2;1;1500000.0;1957;0.0;Пермский край, Пермь, Кузбасская ул., 41;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;57.960466;56.238635
3;89.1;25;3;6990000.0;2010;2.0;Пермский край, Пермь, шоссе Космонавтов, 215;1;0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.969802;56.15356
1;34.0;7;4;2550000.0;2014;1.0;Пермский край, Пермь, Красногвардейская ул., 2;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;58.030436;56.32587
1;30.3;5;5;1950000.0;1966;0.0;Пермский край, Пермь, Закамская ул., 37;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.003902;55.954945
3;84.3;6;6;6300000.0;2016;1.0;Пермский край, Пермь, ул. КИМ, 74А;1;0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;58.020623;56.292322
3;64.7;10;6;4350000.0;1993;1.0;Пермский край, Пермь, Норильская ул., 9;0;1;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.968444;56.19627
2;37.0;3;3;1800000.0;1960;0.0;Пермский край, Пермь, Судозаводская ул., 14;0;0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.033141;56.031422
3;59.8;5;5;2395000.0;1972;0.0;Пермский край, Пермь, ул. Кабельщиков, 93;0;0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;58.114065;56.289201
1;31.0;5;3;2700000.0;1971;0.0;Пермский край, Пермь, ул. Архитектора Свиязева, 42;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.960195;56.172838
2;47.7;20;7;4960000.0;2017;2.0;Пермский край, Пермь, ул. Пушкина, 6;1;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;58.011631;56.262698
3;57.7;9;3;3400000.0;1978;1.0;Пермский край, Пермь, ул. Гашкова, 29;0;1;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;58.060658;56.351474
2;46.2;5;2;1650000.0;1962;0.0;Пермский край, Пермь, Корсуньская ул., 29;0;0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;58.150813;56.433127
3;61.2;5;1;3200000.0;1972;0.0;Пермский край, Пермь, ул. Архитектора Свиязева, 50/2;0;0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.961465;56.171009
1;31.1;2;1;1500000.0;1957;0.0;Пермский край, Пермь, Кузбасская ул., 41;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;57.960466;56.238635
3;64.7;10;6;4350000.0;1993;1.0;Пермский край, Пермь, Норильская ул., 9;0;1;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.968444;56.19627
2;37.0;3;3;1800000.0;1960;0.0;Пермский край, Пермь, Судозаводская ул., 14;0;0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.033141;56.031422
3;84.3;6;6;6300000.0;2016;1.0;Пермский край, Пермь, ул. КИМ, 74А;1;0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;58.020623;56.292322
3;59.8;5;5;2395000.0;1972;0.0;Пермский край, Пермь, ул. Кабельщиков, 93;0;0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;58.114065;56.289201
1;34.0;7;4;2550000.0;2014;1.0;Пермский край, Пермь, Красногвардейская ул., 2;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;58.030436;56.32587
1;31.0;5;3;2700000.0;1971;0.0;Пермский край, Пермь, ул. Архитектора Свиязева, 42;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.960195;56.172838
3;57.7;9;3;3400000.0;1978;1.0;Пермский край, Пермь, ул. Гашкова, 29;0;1;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;58.060658;56.351474
3;89.1;25;3;6990000.0;2010;2.0;Пермский край, Пермь, шоссе Космонавтов, 215;1;0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.969802;56.15356
2;46.2;5;2;1650000.0;1962;0.0;Пермский край, Пермь, Корсуньская ул., 29;0;0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;58.150813;56.433127
6;186.6;10;10;9500000.0;1995;1.0;Пермский край, Пермь, Сысольская ул., 10/4;0;0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.019217;55.979638
2;60.8;10;1;4500000.0;2015;1.0;Пермский край, Пермь, ул. Маяковского, 53;0;0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.001763;56.107488
2;63.2;10;9;4700000.0;2012;1.0;Пермский край, Пермь, ул. Докучаева, 40;1;1;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.035676;56.141521
3;89.1;25;3;6990000.0;2010;2.0;Пермский край, Пермь, шоссе Космонавтов, 215;1;0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.969802;56.15356
2;44.0;5;5;2700000.0;1969;0.0;Пермский край, Пермь, ул. Мильчакова, 31;0;0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.991012;56.232901
3;70.0;9;2;4350000.0;1996;1.0;Пермский край, Пермь, 5-я Каховская ул., 8;1;0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.021906;56.005348
1;33.3;5;1;1690000.0;1972;0.0;Пермский край, Пермь, Химградская ул., 21;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.003759;55.93594
1;41.2;17;3;3450000.0;1987;1.0;Пермский край, Пермь, ул. Попова, 25;0;1;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.005805;56.227789
2;37.0;5;3;2500000.0;1975;0.0;Пермский край, Пермь, ул. Космонавта Леонова, 46;0;0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.967821;56.172496
3;71.0;4;1;3950000.0;1953;0.0;Пермский край, Пермь, ул. Куйбышева, 155;0;0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;57.962564;56.243303
3;60.0;9;8;4000000.0;1980;1.0;Пермский край, Пермь, Серебрянский проезд, 19;0;1;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;57.978188;56.230139
1;35.0;9;4;2750000.0;1986;1.0;Пермский край, Пермь, ул. Свободы, 13;0;1;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;58.032549;56.320546
1;40.6;25;6;4800000.0;2019;2.0;Пермский край, Пермь, ул. Фридриха Энгельса, 27;0;0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.998934;56.191903
1;32.5;6;5;3200000.0;1987;0.0;Пермский край, Пермь, ул. Николая Островского, 27;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.012856;56.258378
1;34.0;7;4;2550000.0;2014;1.0;Пермский край, Пермь, Красногвардейская ул., 2;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;58.030436;56.32587
2;47.7;20;7;4960000.0;2017;2.0;Пермский край, Пермь, ул. Пушкина, 6;1;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;58.011631;56.262698
1;33.2;16;5;2420000.0;2016;1.0;Пермский край, Пермь, ул. Калинина, 46;0;1;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.061201;56.607417
3;66.6;10;6;2850000.0;2009;2.0;Пермский край, Пермь, Делегатская ул., 35;0;1;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;58.13616;56.395546
2;62.0;25;22;4500000.0;2016;2.0;Пермский край, Пермь, ул. Грибоедова, 72;1;1;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;58.005871;56.325828
2;84.0;16;8;5300000.0;2009;1.0;Пермский край, Пермь, ул. Гусарова, 20;1;0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;57.963977;56.215958
1;41.0;17;6;3000000.0;2016;1.0;Пермский край, Пермь, ул. Карбышева, 41;1;1;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;58.109443;56.311379
1;45.0;24;4;5200000.0;2019;1.0;Пермский край, Пермь, Локомотивная ул., 1А;1;0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.996272;56.189893
2;41.1;10;10;3750000.0;2015;2.0;Пермский край, Пермь, ул. Челюскинцев, 2Б;0;0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.99361;56.220066
2;74.1;25;10;7250000.0;2007;2.0;Пермский край, Пермь, Вильвенская ул., 6;1;1;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.998037;56.228903
1;34.0;7;4;2550000.0;2014;1.0;Пермский край, Пермь, Красногвардейская ул., 2;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;58.030436;56.32587
3;85.0;22;22;10850000.0;1921;1.0;Пермский край, Пермь, ул. Луначарского, 99;1;1;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.003931;56.224126
1;21.0;25;23;2550000.0;2018;1.0;Пермский край, Пермь, ул. Советской Армии, 60;1;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.976642;56.20415
1;31.4;5;3;2400000.0;1962;0.0;Пермский край, Пермь, ул. Клары Цеткин, 11;0;0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;57.987111;56.245625
2;44.4;5;5;2790000.0;1970;0.0;Пермский край, Пермь, ул. Архитектора Свиязева, 34;0;0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.961856;56.177191
2;42.6;5;3;3000000.0;1961;0.0;Пермский край, Пермь, ул. Чайковского, 27;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.984349;56.199523
1;34.0;7;4;2550000.0;2014;1.0;Пермский край, Пермь, Красногвардейская ул., 2;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;58.030436;56.32587
2;41.5;5;1;3300000.0;1964;0.0;Пермский край, Пермь, ул. Мира, 122;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.971511;56.159815
2;46.3;25;22;3990000.0;2018;2.0;Пермский край, Пермь, ул. Красные Казармы, 68;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;57.990853;56.267871
