;number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;type of house;parking;district;street;concierge;garbage chute
0;3;61.2;5;1;3200000.0;косметический;раздельный;балкон;1972;0.0;панельный;открытая во дворе;р-н Индустриальный;улица Архитектора Свиязева, 50/2;0;0
1;;;;;;;;;;;;;;;;
2;3;89.1;25;3;6990000.0;евро;раздельный;лоджия;2010;2.0;монолитный;наземная многоуровневая, за шлагбаумом во дворе;р-н Индустриальный;шоссеКосмонавтов, 215;1;0
3;1;34.0;7;4;2550000.0;косметический;совмещенный;лоджия;2014;1.0;кирпичный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Красногвардейская, 2;0;0
4;1;30.3;5;5;1950000.0;косметический;совмещенный;нет;1966;0.0;кирпичный;открытая во дворе;р-н Кировский;улица Закамская, 37;0;0
5;3;84.3;6;6;6300000.0;косметический;несколько;балкон;2016;1.0;кирпичный;за шлагбаумом во дворе;р-н Мотовилихинский;улица КИМ, 74А;1;0
6;3;64.7;10;6;4350000.0;косметический;раздельный;балкон;1993;1.0;панельный;за шлагбаумом во дворе;р-н Индустриальный;улица Норильская, 9;0;1
7;;;;;;;;;;;;;;;;
8;3;59.8;5;5;2395000.0;косметический;раздельный;балкон;1972;0.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Кабельщиков, 93;0;0
9;1;31.0;5;3;2700000.0;косметический;совмещенный;балкон;1971;0.0;панельный;открытая во дворе;р-н Индустриальный;улица Архитектора Свиязева, 42;0;0
10;2;47.7;20;7;4960000.0;косметический;совмещенный;лоджия;2017;2.0;панельный;подземная;р-н Свердловский;улица Пушкина, 6;1;0
11;3;57.7;9;3;3400000.0;евро;совмещенный;балкон;1978;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Гашкова, 29;0;1
12;2;46.2;5;2;1650000.0;требует ремонта;совмещенный;нет;1962;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Корсуньская, 29;0;0
13;3;61.2;5;1;3200000.0;косметический;раздельный;балкон;1972;0.0;панельный;открытая во дворе;р-н Индустриальный;улица Архитектора Свиязева, 50/2;0;0
14;;;;;;;;;;;;;;;;
15;3;64.7;10;6;4350000.0;косметический;раздельный;балкон;1993;1.0;панельный;за шлагбаумом во дворе;р-н Индустриальный;улица Норильская, 9;0;1
16;;;;;;;;;;;;;;;;
17;3;84.3;6;6;6300000.0;косметический;несколько;балкон;2016;1.0;кирпичный;за шлагбаумом во дворе;р-н Мотовилихинский;улица КИМ, 74А;1;0
18;3;59.8;5;5;2395000.0;косметический;раздельный;балкон;1972;0.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Кабельщиков, 93;0;0
19;1;34.0;7;4;2550000.0;косметический;совмещенный;лоджия;2014;1.0;кирпичный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Красногвардейская, 2;0;0
20;1;31.0;5;3;2700000.0;косметический;совмещенный;балкон;1971;0.0;панельный;открытая во дворе;р-н Индустриальный;улица Архитектора Свиязева, 42;0;0
21;3;57.7;9;3;3400000.0;евро;совмещенный;балкон;1978;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Гашкова, 29;0;1
22;3;89.1;25;3;6990000.0;евро;раздельный;лоджия;2010;2.0;монолитный;наземная многоуровневая, за шлагбаумом во дворе;р-н Индустриальный;шоссеКосмонавтов, 215;1;0
23;2;46.2;5;2;1650000.0;требует ремонта;совмещенный;нет;1962;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Корсуньская, 29;0;0
24;6;186.6;10;10;9500000.0;дизайнерский;несколько;лоджия;1995;1.0;панельный;за шлагбаумом во дворе;р-н Кировский;улица Сысольская, 10/4;0;0
25;2;60.8;10;1;4500000.0;косметический;раздельный;лоджия;2015;1.0;панельный;открытая во дворе;р-н Дзержинский;улица Маяковского, 53;0;0
26;2;63.2;10;9;4700000.0;косметический;раздельный;лоджия;2012;1.0;панельный;открытая во дворе;р-н Дзержинский;улица Докучаева, 40;1;1
27;3;89.1;25;3;6990000.0;евро;раздельный;лоджия;2010;2.0;монолитный;наземная многоуровневая, за шлагбаумом во дворе;р-н Индустриальный;шоссеКосмонавтов, 215;1;0
28;;;;;;;;;;;;;;;;
29;3;70.0;9;2;4350000.0;косметический;раздельный;лоджия;1996;1.0;панельный;за шлагбаумом во дворе;р-н Кировский;улица 5-я, ул.,;1;0
30;1;33.3;5;1;1690000.0;косметический;совмещенный;нет;1972;0.0;панельный;открытая во дворе;р-н Кировский;улица Химградская, 21;0;0
31;1;41.2;17;3;3450000.0;косметический;раздельный;лоджия;1987;1.0;кирпичный;открытая во дворе;р-н Ленинский;улица Попова, 25;0;1
32;2;37.0;5;3;2500000.0;требует ремонта;раздельный;балкон;1975;0.0;панельный;открытая во дворе;р-н Индустриальный;улица Космонавта Леонова, 46;0;0
33;3;71.0;4;1;3950000.0;евро;совмещенный;нет;1953;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица Куйбышева, 155;0;0
34;3;60.0;9;8;4000000.0;косметический;раздельный;лоджия;1980;1.0;панельный;открытая во дворе;р-н Свердловский;Серебрянский проезд, 19;0;1
