number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;type of house;parking;district;full address;concierge;garbage chute
3;61.2;5;1;3200000.0;косметический;раздельный;балкон;1972;0.0;панельный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Архитектора Свиязева, 50/2;0;0
1;31.1;2;1;1500000.0;косметический;совмещенный;нет;1957;0.0;кирпичный;;Свердловский;Пермский край, Пермь, Кузбасская ул., 41;0;0
3;89.1;25;3;6990000.0;евро;раздельный;лоджия;2010;2.0;монолитный;наземная многоуровневая, за шлагбаумом во дворе;Индустриальный;Пермский край, Пермь, ш. Космонавтов, 215;1;0
1;34.0;7;4;2550000.0;косметический;совмещенный;лоджия;2014;1.0;кирпичный;за шлагбаумом во дворе;Мотовилихинский;Пермский край, Пермь, Красногвардейская ул., 2;0;0
1;30.3;5;5;1950000.0;косметический;совмещенный;нет;1966;0.0;кирпичный;открытая во дворе;Кировский;Пермский край, Пермь, Закамская ул., 37;0;0
3;84.3;6;6;6300000.0;косметический;несколько;балкон;2016;1.0;кирпичный;за шлагбаумом во дворе;Мотовилихинский;Пермский край, Пермь, ул. КИМ, 74А;1;0
3;64.7;10;6;4350000.0;косметический;раздельный;балкон;1993;1.0;панельный;за шлагбаумом во дворе;Индустриальный;Пермский край, Пермь, Норильская ул., 9;0;1
2;37.0;3;3;1800000.0;требует ремонта;совмещенный;балкон;1960;0.0;кирпичный;;Кировский;Пермский край, Пермь, Судозаводская ул., 14;0;0
3;59.8;5;5;2395000.0;косметический;раздельный;балкон;1972;0.0;панельный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, ул. Кабельщиков, 93;0;0
1;31.0;5;3;2700000.0;косметический;совмещенный;балкон;1971;0.0;панельный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Архитектора Свиязева, 42;0;0
2;47.7;20;7;4960000.0;косметический;совмещенный;лоджия;2017;2.0;панельный;подземная;Свердловский;Пермский край, Пермь, ул. Пушкина, 6;1;0
3;57.7;9;3;3400000.0;евро;совмещенный;балкон;1978;1.0;панельный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, ул. Гашкова, 29;0;1
2;46.2;5;2;1650000.0;требует ремонта;совмещенный;нет;1962;0.0;кирпичный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, Корсуньская ул., 29;0;0
3;61.2;5;1;3200000.0;косметический;раздельный;балкон;1972;0.0;панельный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Архитектора Свиязева, 50/2;0;0
1;31.1;2;1;1500000.0;косметический;совмещенный;нет;1957;0.0;кирпичный;;Свердловский;Пермский край, Пермь, Кузбасская ул., 41;0;0
3;64.7;10;6;4350000.0;косметический;раздельный;балкон;1993;1.0;панельный;за шлагбаумом во дворе;Индустриальный;Пермский край, Пермь, Норильская ул., 9;0;1
2;37.0;3;3;1800000.0;требует ремонта;совмещенный;балкон;1960;0.0;кирпичный;;Кировский;Пермский край, Пермь, Судозаводская ул., 14;0;0
3;84.3;6;6;6300000.0;косметический;несколько;балкон;2016;1.0;кирпичный;за шлагбаумом во дворе;Мотовилихинский;Пермский край, Пермь, ул. КИМ, 74А;1;0
3;59.8;5;5;2395000.0;косметический;раздельный;балкон;1972;0.0;панельный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, ул. Кабельщиков, 93;0;0
1;34.0;7;4;2550000.0;косметический;совмещенный;лоджия;2014;1.0;кирпичный;за шлагбаумом во дворе;Мотовилихинский;Пермский край, Пермь, Красногвардейская ул., 2;0;0
1;31.0;5;3;2700000.0;косметический;совмещенный;балкон;1971;0.0;панельный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Архитектора Свиязева, 42;0;0
3;57.7;9;3;3400000.0;евро;совмещенный;балкон;1978;1.0;панельный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, ул. Гашкова, 29;0;1
3;89.1;25;3;6990000.0;евро;раздельный;лоджия;2010;2.0;монолитный;наземная многоуровневая, за шлагбаумом во дворе;Индустриальный;Пермский край, Пермь, ш. Космонавтов, 215;1;0
2;46.2;5;2;1650000.0;требует ремонта;совмещенный;нет;1962;0.0;кирпичный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, Корсуньская ул., 29;0;0
2;60.8;10;1;4500000.0;косметический;раздельный;лоджия;2015;1.0;панельный;открытая во дворе;Дзержинский;Пермский край, Пермь, ул. Маяковского, 53;0;0
2;63.2;10;9;4700000.0;косметический;раздельный;лоджия;2012;1.0;панельный;открытая во дворе;Дзержинский;Пермский край, Пермь, ул. Докучаева, 40;1;1
3;89.1;25;3;6990000.0;евро;раздельный;лоджия;2010;2.0;монолитный;наземная многоуровневая, за шлагбаумом во дворе;Индустриальный;Пермский край, Пермь, ш. Космонавтов, 215;1;0
2;44.0;5;5;2700000.0;требует ремонта;раздельный;лоджия;1969;0.0;панельный;;Дзержинский;Пермский край, Пермь, ул. Мильчакова, 31;0;0
