physical address;number of rooms;area of apartment;number of floors;apartment floor;price;link;repair;bathroom;view from the windows;terrace;year of construction;elevator;extra;type of house;parking
Пермский край, Пермь, ул. Архитектора Свиязева, 50/2| р-н Индустриальный;3;61.2 м²;5;1;3200000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_612m_15et._2233116144;косметический;раздельный;на улицу, во двор;балкон;1972;0;газоснабжение;панельный;открытая во дворе
ул. Емельяна Ярославского, д. 60| р-н Свердловский;1;34.6 м²;25;3;2726000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_346_m_325_et._2197143903;;;;балкон;;;;кирпичный;
ул. Гашкова, д. 51, корп. 2| р-н Мотовилихинский;3;68.6 м²;17;4;4165234;https://www.avito.ru/perm/kvartiry/3-k._kvartira_686m_417et._2035602665;;раздельный;на улицу, во двор;лоджия;;1;;панельный;открытая во дворе
ул. Гашкова, д. 59| р-н Мотовилихинский;2;46.8 м²;9;6;3121886;https://www.avito.ru/perm/kvartiry/2-k._kvartira_468m_69et._2034936459;;совмещенный;;лоджия;;1;;панельный;
ул. Гашкова, д. 51, корп. 2| р-н Мотовилихинский;2;54.1 м²;16;6;3201790;https://www.avito.ru/perm/kvartiry/2-k._kvartira_541m_616et._2035442021;;раздельный;на улицу;лоджия;;1;;панельный;открытая во дворе
ул. Белозерская, д. 56| р-н Орджоникидзевский;1;37.7 м²;9;4;2213367;https://www.avito.ru/perm/kvartiry/1-k._kvartira_377_m_49_et._2197809166;;;;балкон;;;;монолитный;
ул. Лукоянова, д. 28а| р-н Свердловский;3;61.2 м²;6;5;4485000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_612_m_56_et._2024580298;;;;;;;;монолитный;
ул. Гашкова, д. 51, корп. 2| р-н Мотовилихинский;1;37.9 м²;17;13;2503778;https://www.avito.ru/perm/kvartiry/1-k._kvartira_379_m_1317_et._2195193011;;совмещенный;на улицу, во двор;балкон;;1;;панельный;открытая во дворе
ул. Гашкова, д. 51, корп. 2| р-н Мотовилихинский;3;64.1 м²;16;6;3727415;https://www.avito.ru/perm/kvartiry/3-k._kvartira_641m_616et._2099709024;;раздельный;на улицу, во двор;лоджия;;1;;панельный;подземная, открытая во дворе
ул. Гашкова, д. 59| р-н Мотовилихинский;4;84.7 м²;9;8;5099542;https://www.avito.ru/perm/kvartiry/4-k._kvartira_847m_89et._2099881208;;раздельный;на улицу, во двор;балкон;;0;;панельный;подземная, открытая во дворе
ул. Карпинского, д. 49А| р-н Индустриальный;студия;33 м²;20;13;3100000;https://www.avito.ru/perm/kvartiry/kvartira-studiya_33m_1320et._2146482874;;совмещенный;во двор;лоджия;;1;;монолитный;подземная, за шлагбаумом во дворе
ул. Лобвинская, д. 33| р-н Орджоникидзевский;1;40.6 м²;4;1;3009700;https://www.avito.ru/perm/kvartiry/1-k._kvartira_406m_14et._2084501480;;совмещенный;во двор;нет;;1;;кирпичный;за шлагбаумом во дворе
ул. Монастырская, д. 60| р-н Ленинский;4;96.6 м²;14;4;9853200;https://www.avito.ru/perm/kvartiry/4-k._kvartira_966m_414et._2038108729;;;;балкон;;;;монолитный;
ул. Лобвинская, д. 33| р-н Орджоникидзевский;1;40.6 м²;4;1;3009700;https://www.avito.ru/perm/kvartiry/1-k._kvartira_406m_14et._2084501480;;совмещенный;во двор;нет;;1;;кирпичный;за шлагбаумом во дворе
Пермский край, Пермь, Кузбасская ул., 41| р-н Свердловский;1;31.1 м²;2;1;1500000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_311m_12et._2215930538;косметический;совмещенный;на улицу, во двор;нет;1957;0;газоснабжение;кирпичный;
ул. Гашкова, д. 51, корп. 2| р-н Мотовилихинский;3;68.6 м²;17;4;4165234;https://www.avito.ru/perm/kvartiry/3-k._kvartira_686m_417et._2035602665;;раздельный;на улицу, во двор;лоджия;;1;;панельный;открытая во дворе
ул. Гашкова, д. 51, корп. 2| р-н Мотовилихинский;1;33.4 м²;12;11;2176010;https://www.avito.ru/perm/kvartiry/1-k._kvartira_334m_1112et._2227731064;;раздельный;на улицу;балкон;;1;;панельный;подземная, открытая во дворе
ул. Гашкова, д. 51, корп. 2| р-н Мотовилихинский;2;54.1 м²;16;3;3201790;https://www.avito.ru/perm/kvartiry/2-k._kvartira_541m_316et._2099704817;;раздельный;на улицу;лоджия;;1;;панельный;подземная, открытая во дворе
Пермский край, Пермь, ш. Космонавтов, 215| р-н Индустриальный;3;89.1 м²;25;3;6990000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_891m_325et._2121440527;евро;раздельный;на улицу, во двор;лоджия;2010;2;консьерж;монолитный;наземная многоуровневая, за шлагбаумом во дворе
ул. Краснополянская, д. 34| р-н Свердловский;2;44 м²;20;13;3433560;https://www.avito.ru/perm/kvartiry/2-k._kvartira_44m_1320et._2038057381;;;;балкон;;2;;монолитный;
ул. Лизы Чайкиной, д. 33| р-н Индустриальный;3;77.8 м²;4;3;5913000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_778m_34et._1971794532;;несколько;на улицу;лоджия;;0;;кирпичный;за шлагбаумом во дворе
ул. Гашкова, д. 51, корп. 2| р-н Мотовилихинский;1;37.9 м²;17;13;2503778;https://www.avito.ru/perm/kvartiry/1-k._kvartira_379_m_1317_et._2195193011;;совмещенный;на улицу, во двор;балкон;;1;;панельный;открытая во дворе
ул. Гашкова, д. 51, корп. 2| р-н Мотовилихинский;3;64.1 м²;16;6;3727415;https://www.avito.ru/perm/kvartiry/3-k._kvartira_641m_616et._2099709024;;раздельный;на улицу, во двор;лоджия;;1;;панельный;подземная, открытая во дворе
Пермский край, Пермь, ул. Адмирала Макарова, 23| р-н Кировский;3;91.3 м²;16;16;4450000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_913_m_1616_et._2197212480;;;;лоджия;;;;кирпичный;
ул. Гашкова, д. 51, корп. 2| р-н Мотовилихинский;1;33.4 м²;12;11;2176010;https://www.avito.ru/perm/kvartiry/1-k._kvartira_334m_1112et._2227731064;;раздельный;на улицу;балкон;;1;;панельный;подземная, открытая во дворе
ул. Гашкова, д. 59| р-н Мотовилихинский;4;84.7 м²;9;8;5099542;https://www.avito.ru/perm/kvartiry/4-k._kvartira_847m_89et._2099881208;;раздельный;на улицу, во двор;балкон;;0;;панельный;подземная, открытая во дворе
ул. Гашкова, д. 51, корп. 2| р-н Мотовилихинский;3;68.6 м²;12;9;4165234;https://www.avito.ru/perm/kvartiry/3-k._kvartira_686m_912et._2099519349;;раздельный;на улицу, во двор;лоджия;;1;;панельный;подземная, открытая во дворе
ул. Солдатова, д. 33| р-н Свердловский;1;33.3 м²;25;5;2430900;https://www.avito.ru/perm/kvartiry/1-k._kvartira_333_m_525_et._2197385927;;;;лоджия;;;;монолитный;
ул. Гашкова, д. 51, корп. 2| р-н Мотовилихинский;1;43.3 м²;16;3;2633248;https://www.avito.ru/perm/kvartiry/1-k._kvartira_433m_316et._2099543762;;раздельный;на улицу;балкон;;1;;панельный;подземная, открытая во дворе
Пермский край, Пермь, ул. Ленина, 57| р-н Дзержинский;1;32.7 м²;5;2;2869000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_327_m_25_et._2197771432;;;;балкон;;;;кирпичный;
Пермский край, Пермь, Красногвардейская ул., 2| р-н Мотовилихинский;1;34 м²;7;4;2550000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_34m_47et._2160128173;косметический;совмещенный;на улицу;лоджия;2014;1;;кирпичный;за шлагбаумом во дворе
ул. Гашкова, д. 51, корп. 2| р-н Мотовилихинский;2;58.2 м²;10;9;3705067;https://www.avito.ru/perm/kvartiry/2-k._kvartira_582m_910et._2099707179;;раздельный;на улицу;лоджия;;1;;панельный;подземная, открытая во дворе
Пермский край, Пермь, ш. Космонавтов, 113А| р-н Индустриальный;1;32.9 м²;10;5;2100000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_329m_510et._2152112392;;;во двор;балкон;;1;консьерж;кирпичный;открытая во дворе
ул. Гашкова, д. 51, корп. 2| р-н Мотовилихинский;2;54.1 м²;16;3;3201790;https://www.avito.ru/perm/kvartiry/2-k._kvartira_541m_316et._2099704817;;раздельный;на улицу;лоджия;;1;;панельный;подземная, открытая во дворе
ул. Лукоянова, д. 31| р-н Свердловский;3;68.1 м²;6;1;4973000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_681m_16et._2152818372;;раздельный;во двор;балкон;;;;кирпичный;за шлагбаумом во дворе
ул. Лукоянова, д. 28а| р-н Свердловский;2;50.8 м²;6;6;4044000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_508_m_66_et._2024780879;;;;;;;;монолитный;
Пермский край, Пермь, Закамская ул., 37| р-н Кировский;1;30.3 м²;5;5;1950000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_303m_55et._2212091075;косметический;совмещенный;во двор;нет;1966;0;;кирпичный;открытая во дворе
ул. Татьяны Барамзиной, д. 38| р-н Дзержинский;2;48.6 м²;25;8;3800520;https://www.avito.ru/perm/kvartiry/2-k._kvartira_486m_825et._2203050335;;совмещенный;на улицу;балкон;;2;;кирпичный;подземная
Пермский край, Пермь, ул. Калинина, 42| р-н Кировский;1;38.4 м²;16;16;2950000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_384_m_1616_et._2229575655;;;;балкон;;;;кирпичный;
Пермский край, Пермь, ул. КИМ, 74А| р-н Мотовилихинский;3;84.3 м²;6;6;6300000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_843m_66et._2098613800;косметический;несколько;на улицу, во двор;балкон;2016;1;консьерж, газоснабжение;кирпичный;за шлагбаумом во дворе
ул. Гашкова, д. 59| р-н Мотовилихинский;1;42.2 м²;9;4;2750788;https://www.avito.ru/perm/kvartiry/1-k._kvartira_422m_49et._2035114604;;раздельный;;балкон;;1;;панельный;открытая во дворе
Пермский край, Пермь, Норильская ул., 9| р-н Индустриальный;3;64.7 м²;10;6;4350000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_647m_610et._2210272410;косметический;раздельный;на улицу, во двор;балкон;1993;1;мусоропровод, газоснабжение;панельный;за шлагбаумом во дворе
пер. Бершетский, д. 3| р-н Индустриальный;2;59.1 м²;16;11;4491000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_591_m_1116_et._2197548955;;;;лоджия;;;;монолитный;
ул. Солдатова, д. 33| р-н Свердловский;2;41.2 м²;25;5;2884000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_412_m_525_et._2197266226;;;;лоджия;;;;монолитный;
