;address;district;number of floors;apartment floor;number of rooms;area of apartment;bathroom;repair;view from the windows;terrace;garbage chute;type of house;parking;concierge;elevator;link;price
0; ул. Архитектора Свиязева, 50/2;р-н Индустриальный;5;1.0;3;61.2;раздельный;косметический;на улицу, во двор;балкон;False;панельный;открытая во дворе;False;False;https://www.avito.ru/perm/kvartiry/3-k._kvartira_612m_15et._2233116144;3200000.0
1; ул. Архитектора Свиязева, 50/2;р-н Индустриальный;5;1.0;3;61.2;раздельный;косметический;на улицу, во двор;балкон;False;панельный;открытая во дворе;False;False;https://www.avito.ru/perm/kvartiry/3-k._kvartira_612m_15et._2233116144;3200000.0
2;ул. Гашкова, д. 51, корп. 2;р-н Мотовилихинский;17;4.0;3;68.6;раздельный;косметический;на улицу, во двор;лоджия;False;панельный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_686m_417et._2035602665;4165234.0
3;ул. Гашкова, д. 51, корп. 2;р-н Мотовилихинский;17;4.0;3;68.6;раздельный;косметический;на улицу, во двор;лоджия;False;панельный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_686m_417et._2035602665;4165234.0
4;ул. Гашкова, д. 51, корп. 2;р-н Мотовилихинский;16;6.0;2;54.1;раздельный;косметический;на улицу;лоджия;False;панельный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_541m_616et._2035442021;3201790.0
5;ул. Гашкова, д. 51, корп. 2;р-н Мотовилихинский;16;6.0;2;54.1;раздельный;косметический;на улицу;лоджия;False;панельный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_541m_616et._2035442021;3201790.0
6;ул. Гашкова, д. 51, корп. 2;р-н Мотовилихинский;16;6.0;2;54.1;раздельный;косметический;на улицу;лоджия;False;панельный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_541m_616et._2035442021;3201790.0
7;ул. Гашкова, д. 51, корп. 2;р-н Мотовилихинский;17;13.0;1;37.9;совмещенный;косметический;на улицу, во двор;балкон;False;панельный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_379_m_1317_et._2195193011;2503778.0
8;ул. Гашкова, д. 51, корп. 2;р-н Мотовилихинский;16;6.0;3;64.1;раздельный;косметический;на улицу, во двор;лоджия;False;панельный;подземная, открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_641m_616et._2099709024;3727415.0
9;ул. Гашкова, д. 59;р-н Мотовилихинский;9;8.0;4;84.7;раздельный;косметический;на улицу, во двор;балкон;False;панельный;подземная, открытая во дворе;False;False;https://www.avito.ru/perm/kvartiry/4-k._kvartira_847m_89et._2099881208;5099542.0
10;ул. Карпинского, д. 49А;р-н Индустриальный;20;13.0;1;33.0;совмещенный;косметический;во двор;лоджия;False;монолитный;подземная, за шлагбаумом во дворе;False;True;https://www.avito.ru/perm/kvartiry/kvartira-studiya_33m_1320et._2146482874;3100000.0
11;ул. Лобвинская, д. 33;р-н Орджоникидзевский;4;1.0;1;40.6;совмещенный;косметический;во двор;нет;False;кирпичный;за шлагбаумом во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_406m_14et._2084501480;3009700.0
12;ул. Лобвинская, д. 33;р-н Орджоникидзевский;4;1.0;1;40.6;совмещенный;косметический;во двор;нет;False;кирпичный;за шлагбаумом во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_406m_14et._2084501480;3009700.0
13;ул. Лобвинская, д. 33;р-н Орджоникидзевский;4;1.0;1;40.6;совмещенный;косметический;во двор;нет;False;кирпичный;за шлагбаумом во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_406m_14et._2084501480;3009700.0
14; Кузбасская ул., 41;р-н Свердловский;2;1.0;1;31.1;совмещенный;косметический;на улицу, во двор;нет;False;кирпичный;открытая во дворе;False;False;https://www.avito.ru/perm/kvartiry/1-k._kvartira_311m_12et._2215930538;1500000.0
15;ул. Гашкова, д. 51, корп. 2;р-н Мотовилихинский;17;4.0;3;68.6;раздельный;косметический;на улицу, во двор;лоджия;False;панельный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_686m_417et._2035602665;4165234.0
16;ул. Гашкова, д. 51, корп. 2;р-н Мотовилихинский;12;11.0;1;33.4;раздельный;косметический;на улицу;балкон;False;панельный;подземная, открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_334m_1112et._2227731064;2176010.0
17;ул. Гашкова, д. 51, корп. 2;р-н Мотовилихинский;16;3.0;2;54.1;раздельный;косметический;на улицу;лоджия;False;панельный;подземная, открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_541m_316et._2099704817;3201790.0
18; ш. Космонавтов, 215;р-н Индустриальный;25;3.0;3;89.1;раздельный;евро;на улицу, во двор;лоджия;False;монолитный;наземная многоуровневая, за шлагбаумом во дворе;True;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_891m_325et._2121440527;6990000.0
19; ш. Космонавтов, 215;р-н Индустриальный;25;3.0;3;89.1;раздельный;евро;на улицу, во двор;лоджия;False;монолитный;наземная многоуровневая, за шлагбаумом во дворе;True;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_891m_325et._2121440527;6990000.0
20;ул. Лизы Чайкиной, д. 33;р-н Индустриальный;4;3.0;3;77.8;несколько;косметический;на улицу;лоджия;False;кирпичный;за шлагбаумом во дворе;False;False;https://www.avito.ru/perm/kvartiry/3-k._kvartira_778m_34et._1971794532;5913000.0
21;ул. Гашкова, д. 51, корп. 2;р-н Мотовилихинский;17;13.0;1;37.9;совмещенный;косметический;на улицу, во двор;балкон;False;панельный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_379_m_1317_et._2195193011;2503778.0
22;ул. Гашкова, д. 51, корп. 2;р-н Мотовилихинский;16;6.0;3;64.1;раздельный;косметический;на улицу, во двор;лоджия;False;панельный;подземная, открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_641m_616et._2099709024;3727415.0
23;ул. Гашкова, д. 51, корп. 2;р-н Мотовилихинский;16;6.0;3;64.1;раздельный;косметический;на улицу, во двор;лоджия;False;панельный;подземная, открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_641m_616et._2099709024;3727415.0
24;ул. Гашкова, д. 51, корп. 2;р-н Мотовилихинский;12;11.0;1;33.4;раздельный;косметический;на улицу;балкон;False;панельный;подземная, открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_334m_1112et._2227731064;2176010.0
25;ул. Гашкова, д. 59;р-н Мотовилихинский;9;8.0;4;84.7;раздельный;косметический;на улицу, во двор;балкон;False;панельный;подземная, открытая во дворе;False;False;https://www.avito.ru/perm/kvartiry/4-k._kvartira_847m_89et._2099881208;5099542.0
26;ул. Гашкова, д. 51, корп. 2;р-н Мотовилихинский;12;9.0;3;68.6;раздельный;косметический;на улицу, во двор;лоджия;False;панельный;подземная, открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_686m_912et._2099519349;4165234.0
27;ул. Гашкова, д. 51, корп. 2;р-н Мотовилихинский;12;9.0;3;68.6;раздельный;косметический;на улицу, во двор;лоджия;False;панельный;подземная, открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_686m_912et._2099519349;4165234.0
28;ул. Гашкова, д. 51, корп. 2;р-н Мотовилихинский;16;3.0;1;43.3;раздельный;косметический;на улицу;балкон;False;панельный;подземная, открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_433m_316et._2099543762;2633248.0
29;ул. Гашкова, д. 51, корп. 2;р-н Мотовилихинский;16;3.0;1;43.3;раздельный;косметический;на улицу;балкон;False;панельный;подземная, открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_433m_316et._2099543762;2633248.0
30; Красногвардейская ул., 2;р-н Мотовилихинский;7;4.0;1;34.0;совмещенный;косметический;на улицу;лоджия;False;кирпичный;за шлагбаумом во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_34m_47et._2160128173;2550000.0
31;ул. Гашкова, д. 51, корп. 2;р-н Мотовилихинский;10;9.0;2;58.2;раздельный;косметический;на улицу;лоджия;False;панельный;подземная, открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_582m_910et._2099707179;3705067.0
32; ш. Космонавтов, 113А;р-н Индустриальный;10;5.0;1;32.9;совмещенный;косметический;во двор;балкон;False;кирпичный;открытая во дворе;True;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_329m_510et._2152112392;2100000.0
33;ул. Гашкова, д. 51, корп. 2;р-н Мотовилихинский;16;3.0;2;54.1;раздельный;косметический;на улицу;лоджия;False;панельный;подземная, открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_541m_316et._2099704817;3201790.0
34;ул. Гашкова, д. 51, корп. 2;р-н Мотовилихинский;16;3.0;2;54.1;раздельный;косметический;на улицу;лоджия;False;панельный;подземная, открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_541m_316et._2099704817;3201790.0
35;ул. Гашкова, д. 51, корп. 2;р-н Мотовилихинский;16;3.0;2;54.1;раздельный;косметический;на улицу;лоджия;False;панельный;подземная, открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_541m_316et._2099704817;3201790.0
36; Закамская ул., 37;р-н Кировский;5;5.0;1;30.3;совмещенный;косметический;во двор;нет;False;кирпичный;открытая во дворе;False;False;https://www.avito.ru/perm/kvartiry/1-k._kvartira_303m_55et._2212091075;1950000.0
37;ул. Татьяны Барамзиной, д. 38;р-н Дзержинский;25;8.0;2;48.6;совмещенный;косметический;на улицу;балкон;False;кирпичный;подземная;False;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_486m_825et._2203050335;3800520.0
38;ул. Татьяны Барамзиной, д. 38;р-н Дзержинский;25;8.0;2;48.6;совмещенный;косметический;на улицу;балкон;False;кирпичный;подземная;False;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_486m_825et._2203050335;3800520.0
39; ул. КИМ, 74А;р-н Мотовилихинский;6;6.0;3;84.3;несколько;косметический;на улицу, во двор;балкон;False;кирпичный;за шлагбаумом во дворе;True;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_843m_66et._2098613800;6300000.0
40; ул. КИМ, 74А;р-н Мотовилихинский;6;6.0;3;84.3;несколько;косметический;на улицу, во двор;балкон;False;кирпичный;за шлагбаумом во дворе;True;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_843m_66et._2098613800;6300000.0
41; Норильская ул., 9;р-н Индустриальный;10;6.0;3;64.7;раздельный;косметический;на улицу, во двор;балкон;True;панельный;за шлагбаумом во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_647m_610et._2210272410;4350000.0
42; Норильская ул., 9;р-н Индустриальный;10;6.0;3;64.7;раздельный;косметический;на улицу, во двор;балкон;True;панельный;за шлагбаумом во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_647m_610et._2210272410;4350000.0
43; Норильская ул., 9;р-н Индустриальный;10;6.0;3;64.7;раздельный;косметический;на улицу, во двор;балкон;True;панельный;за шлагбаумом во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_647m_610et._2210272410;4350000.0
44; Судозаводская ул., 14;р-н Кировский;3;3.0;2;37.0;совмещенный;требует ремонта;на улицу;балкон;False;кирпичный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_37m_33et._2229840336;1800000.0
45; Судозаводская ул., 14;р-н Кировский;3;3.0;2;37.0;совмещенный;требует ремонта;на улицу;балкон;False;кирпичный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_37m_33et._2229840336;1800000.0
46;ул. Карпинского, д. 49А;р-н Индустриальный;20;13.0;1;33.0;совмещенный;косметический;во двор;лоджия;False;монолитный;подземная, за шлагбаумом во дворе;False;True;https://www.avito.ru/perm/kvartiry/kvartira-studiya_33m_1320et._2146482874;3100000.0
47;ул. Карпинского, д. 49А;р-н Индустриальный;20;13.0;1;33.0;совмещенный;косметический;во двор;лоджия;False;монолитный;подземная, за шлагбаумом во дворе;False;True;https://www.avito.ru/perm/kvartiry/kvartira-studiya_33m_1320et._2146482874;3100000.0
48; ул. Кабельщиков, 93;р-н Орджоникидзевский;5;5.0;3;59.8;раздельный;косметический;на улицу, во двор;балкон;False;панельный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_598m_55et._2198745549;2395000.0
49; Красноводская ул., 15;р-н Дзержинский;18;7.0;2;47.7;совмещенный;косметический;во двор;балкон;False;монолитный;открытая во дворе;False;False;https://www.avito.ru/perm/kvartiry/2-k._kvartira_477m_718et._2189309408;3435000.0
50; ул. Архитектора Свиязева, 42;р-н Индустриальный;5;3.0;1;31.0;совмещенный;косметический;на улицу;балкон;False;панельный;открытая во дворе;False;False;https://www.avito.ru/perm/kvartiry/1-k._kvartira_31m_35et._2187979771;2700000.0
51; Вильвенская ул., 21;р-н Дзержинский;9;9.0;4;81.2;раздельный;косметический;во двор;лоджия;True;панельный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/4-k._kvartira_812m_99et._2178148663;4350000.0
52; ул. Пушкина, 6;р-н Свердловский;20;7.0;2;47.7;совмещенный;косметический;во двор;лоджия;False;панельный;подземная;True;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_477m_720et._2235686387;4960000.0
53; ул. Пушкина, 6;р-н Свердловский;20;7.0;2;47.7;совмещенный;косметический;во двор;лоджия;False;панельный;подземная;True;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_477m_720et._2235686387;4960000.0
54; ул. Гашкова, 29;р-н Мотовилихинский;9;3.0;3;57.7;совмещенный;евро;во двор;балкон;True;панельный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_577m_39et._2169655403;3400000.0
55;ул. Ординская, д. 10, корп. 2;р-н Свердловский;17;1.0;3;65.8;раздельный;косметический;во двор;лоджия;False;панельный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_658m_117et._1907642297;4349317.0
56;ул. Ординская, д. 10, корп. 2;р-н Свердловский;17;1.0;3;65.8;раздельный;косметический;во двор;лоджия;False;панельный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_658m_117et._1907642297;4349317.0
57; Корсуньская ул., 29;р-н Орджоникидзевский;5;2.0;2;46.2;совмещенный;требует ремонта;на улицу;нет;False;кирпичный;открытая во дворе;False;False;https://www.avito.ru/perm/kvartiry/2-k._kvartira_462m_25et._2231966972;1650000.0
58;Пермь, улица Карла Модераха, 6;р-н Свердловский;25;18.0;1;39.0;совмещенный;косметический;на улицу;лоджия;False;монолитный;подземная, открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_39m_1825et._2204764580;3543000.0
59;ул. Гашкова, д. 51, корп. 2;р-н Мотовилихинский;17;4.0;3;68.6;раздельный;косметический;на улицу, во двор;лоджия;False;панельный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_686m_417et._2035602665;4165234.0
